date,close
2023-06-23,123.02
2023-06-22,123.87
2023-06-21,121.26
2023-06-20,123.85
2023-06-16,124.06
2023-06-15,125.79
2023-06-14,124.38
2023-06-13,124.43
2023-06-12,124.35
2023-06-09,122.87
2023-06-08,122.67
2023-06-07,122.94
2023-06-06,127.91
2023-06-05,126.63
2023-06-02,125.23
2023-06-01,124.37
2023-05-31,123.37
2023-05-30,124.64
2023-05-26,125.43
2023-05-25,124.35
2023-05-24,121.64
2023-05-23,123.29
2023-05-22,125.87
2023-05-19,123.25
2023-05-18,123.52
2023-05-17,121.48
2023-05-16,120.09
2023-05-15,116.96
2023-05-12,117.92
2023-05-11,116.9
2023-05-10,112.28
2023-05-09,107.94
2023-05-08,108.24
2023-05-05,106.215
2023-05-04,105.21
2023-05-03,106.12
2023-05-02,105.98
2023-05-01,107.71
2023-04-28,108.22
2023-04-27,108.37
2023-04-26,104.45
2023-04-25,104.61
2023-04-24,106.78
2023-04-21,105.91
2023-04-20,105.9
2023-04-19,105.02
2023-04-18,105.12
2023-04-17,106.42
2023-04-14,109.46
2023-04-13,108.19
2023-04-12,105.22
2023-04-11,106.12
2023-04-10,106.95
2023-04-06,108.9
2023-04-05,104.95
2023-04-04,105.12
2023-04-03,104.91
2023-03-31,104.0
2023-03-30,101.32
2023-03-29,101.9
2023-03-28,101.36
2023-03-27,103.06
2023-03-24,106.06
2023-03-23,106.26
2023-03-22,104.22
2023-03-21,105.84
2023-03-20,101.93
2023-03-17,102.46
2023-03-16,101.07
2023-03-15,96.55
2023-03-14,94.25
2023-03-13,91.66
2023-03-10,91.01
2023-03-09,92.66
2023-03-08,94.65
2023-03-07,94.17
2023-03-06,95.58
2023-03-03,94.02
2023-03-02,92.31
2023-03-01,90.51
2023-02-28,90.3
2023-02-27,90.1
2023-02-24,89.35
2023-02-23,91.07
2023-02-22,91.8
2023-02-21,92.05
2023-02-17,94.59
2023-02-16,95.78
2023-02-15,97.1
2023-02-14,94.95
2023-02-13,95.0
2023-02-10,94.86
2023-02-09,95.46
2023-02-08,100.0
2023-02-07,108.04
2023-02-06,103.47
2023-02-03,105.22
2023-02-02,108.8
2023-02-01,101.43
2023-01-31,99.87
