date,close
2022-09-26,264.32
2022-09-27,265.47
2022-09-28,271.78
2022-09-29,269.58
2022-09-30,267.02
2022-10-03,272.8
2022-10-04,280.49
2022-10-05,279.36
2022-10-06,276.31
2022-10-07,269.04
2022-10-10,266.93
2022-10-11,267.31
2022-10-12,264
2022-10-13,275.78
2022-10-14,272.67
2022-10-17,277.02
2022-10-18,281.67
2022-10-19,278.34
2022-10-20,273.53
2022-10-21,282.51
2022-10-24,287.48
2022-10-25,289.24
2022-10-26,288.52
2022-10-27,289.88
2022-10-28,299.63
2022-10-31,295.09
2022-11-01,294.13
2022-11-02,289.46
2022-11-03,283.85
2022-11-04,287.47
2022-11-07,290.19
2022-11-08,292.61
2022-11-09,288.65
2022-11-10,303.2
2022-11-11,309.72
2022-11-14,308.91
2022-11-15,309.98
2022-11-16,308.76
2022-11-17,307.44
2022-11-18,310.76
2022-11-21,311.2
2022-11-22,315.76
2022-11-23,316.18
2022-11-25,317.43
2022-11-28,313.27
2022-11-29,315.13
2022-11-30,318.6
2022-12-01,315.84
2022-12-02,316.15
2022-12-05,310.57
2022-12-06,307.78
2022-12-07,305.82
2022-12-08,305.99
2022-12-09,306.39
2022-12-12,311.45
2022-12-13,312.33
2022-12-14,309.29
2022-12-15,301.91
2022-12-16,300
2022-12-19,300.03
2022-12-20,302
2022-12-21,307.82
2022-12-22,302.69
2022-12-23,306.49
2022-12-27,305.55
2022-12-28,303.43
2022-12-29,309.06
2022-12-30,308.9
2023-01-03,309.91
2023-01-04,314.55
2023-01-05,312.9
2023-01-06,318.69
2023-01-09,315.53
2023-01-10,316.35
2023-01-11,320.37
2023-01-12,318.93
2023-01-13,317.64
2023-01-17,314.86
2023-01-18,308.3
2023-01-19,305.23
2023-01-20,309.87
2023-01-23,310.42
2023-01-24,311.3
2023-01-25,311.9
2023-01-26,310.95
2023-01-27,309.17
2023-01-30,307.33
2023-01-31,311.52
2023-02-01,310.57
2023-02-02,311.86
2023-02-03,308.51
2023-02-06,308.43
2023-02-07,312.97
2023-02-08,308.48
2023-02-09,307.21
2023-02-10,309.89
2023-02-13,313.74
2023-02-14,310.79
2023-02-15,309.63
2023-02-16,308.18
2023-02-17,308.24
2023-02-21,302.72
2023-02-22,303.16
2023-02-23,303.07
2023-02-24,304.02
2023-02-27,304.66
2023-02-28,305.18
2023-03-01,304.62
2023-03-02,307.75
2023-03-03,312.45
2023-03-06,316.97
2023-03-07,311.12
2023-03-08,311.37
2023-03-09,304.82
2023-03-10,303.63
2023-03-13,302.88
2023-03-14,305.33
2023-03-15,297.88
2023-03-16,302.01
2023-03-17,293.51
2023-03-20,301.06
2023-03-21,303.85
2023-03-22,299.73
2023-03-23,298.37
2023-03-24,298.92
2023-03-27,302.14
2023-03-28,302.32
2023-03-29,305.3
2023-03-30,305.08
2023-03-31,308.77
2023-04-03,310.31
2023-04-04,309.07
2023-04-05,310.39
2023-04-06,312.51
2023-04-10,312.62
2023-04-11,313.7
2023-04-12,314.55
2023-04-13,318.05
2023-04-14,319.74
2023-04-17,323.79
2023-04-18,324.63
2023-04-19,323.09
2023-04-20,323.82
2023-04-21,324.33
2023-04-24,326.05
2023-04-25,324.34
2023-04-26,320.53
2023-04-27,326.23
2023-04-28,328.55
2023-05-01,330.17
2023-05-02,325.86
2023-05-03,323.22
2023-05-04,320
2023-05-05,323.88
2023-05-08,326.14
2023-05-09,324.87
2023-05-10,322.99
2023-05-11,322.64
2023-05-12,322.49
2023-05-15,323.53
2023-05-16,323.75
2023-05-17,327.39
2023-05-18,329.76
2023-05-19,330.39
2023-05-22,329.13
2023-05-23,323.11
2023-05-24,320.2
2023-05-25,319.02
2023-05-26,320.6
2023-05-30,322.19
2023-05-31,321.08
2023-06-01,323.12
2023-06-02,329.48
2023-06-05,328.58
2023-06-06,333.41
2023-06-07,335.42
2023-06-08,335.95
2023-06-09,335.29
2023-06-12,333.6
2023-06-13,336.39
2023-06-14,335.9
2023-06-15,339.82
2023-06-16,338.31
2023-06-20,338.67
2023-06-21,338.61
2023-06-22,336.96
2023-06-23,335.25
2023-06-26,334.12
2023-06-27,335.34
2023-06-28,334.15
2023-06-29,336.91
2023-06-30,341
2023-07-03,342
2023-07-05,341.56
2023-07-06,341.46
2023-07-07,340.9
2023-07-10,341.13
2023-07-11,343.37
2023-07-12,345.35
2023-07-13,343.54
2023-07-14,341.09
2023-07-17,344.25
2023-07-18,345.34
2023-07-19,342.43
2023-07-20,346.61
2023-07-21,345.76
2023-07-24,349.63
2023-07-25,347.58
2023-07-26,349.8
2023-07-27,349.31
2023-07-28,349.81
2023-07-31,351.96
2023-08-01,352.26
2023-08-02,351.19
2023-08-03,353.81
2023-08-04,349.99
2023-08-07,362.58
2023-08-08,363.73
2023-08-09,358.02
2023-08-10,356.98
2023-08-11,358.35
2023-08-14,358.48
2023-08-15,354.5
2023-08-16,354.11
2023-08-17,353.19
2023-08-18,352.56
2023-08-21,352.09
2023-08-22,350.57
2023-08-23,354.26
2023-08-24,354.3
2023-08-25,355.93
2023-08-28,355.55
2023-08-29,358.29
2023-08-30,361.06
2023-08-31,360.2
2023-09-01,362.46
2023-09-05,360.47
2023-09-06,361.67
2023-09-07,361.8
2023-09-08,363.15
2023-09-11,365.52
2023-09-12,367.78
2023-09-13,367.82
2023-09-14,369.5
2023-09-15,367.86
2023-09-18,370.43
2023-09-19,370.48
2023-09-20,366.82
