date,close
2022-07-29,69.05
2022-08-01,68.72
2022-08-02,67.55
2022-08-03,68.98
2022-08-04,69
2022-08-05,69.31
2022-08-08,68.45
2022-08-09,69.04
2022-08-10,69.94
2022-08-11,72.57
2022-08-12,75
2022-08-15,75.86
2022-08-16,77.18
2022-08-17,75.46
2022-08-18,75.75
2022-08-19,73.86
2022-08-22,72.55
2022-08-23,72.79
2022-08-24,73.32
2022-08-25,74
2022-08-26,71.89
2022-08-29,71.94
2022-08-30,72.5
2022-08-31,70.95
2022-09-01,71.72
2022-09-02,70.34
2022-09-06,70.47
2022-09-07,71.79
2022-09-08,73.16
2022-09-09,74.54
2022-09-12,74.92
2022-09-13,72.95
2022-09-14,72.75
2022-09-15,72.58
2022-09-16,71.87
2022-09-19,73.71
2022-09-20,73.35
2022-09-21,72.91
2022-09-22,72.06
2022-09-23,70.89
2022-09-26,70.89
2022-09-27,71.63
2022-09-28,73.25
2022-09-29,72.64
2022-09-30,71.87
2022-10-03,73.21
2022-10-04,76.22
2022-10-05,75.93
2022-10-06,75.99
2022-10-07,74.31
2022-10-10,73.56
2022-10-11,71.71
2022-10-12,71.89
2022-10-13,74.07
2022-10-14,68.98
2022-10-17,67.43
2022-10-18,68.61
2022-10-19,68.71
2022-10-20,68
2022-10-21,70.32
2022-10-24,70.7
2022-10-25,72.46
2022-10-26,72.95
2022-10-27,77.33
2022-10-28,80.19
2022-10-31,79.67
2022-11-01,79.89
2022-11-02,78.93
2022-11-03,78.95
2022-11-04,79.05
2022-11-07,79.65
2022-11-08,79.63
2022-11-09,78.27
2022-11-10,78.56
2022-11-11,78.36
2022-11-14,76.47
2022-11-15,78.3
2022-11-16,77.41
2022-11-17,77.9
2022-11-18,79.81
2022-11-21,80
2022-11-22,81.26
2022-11-23,81.41
2022-11-25,81.61
2022-11-28,79.83
2022-11-29,80.39
2022-11-30,82.54
2022-12-01,81.73
2022-12-02,82.46
2022-12-05,81.24
2022-12-06,80.59
2022-12-07,80.19
2022-12-08,80.25
2022-12-09,79.82
2022-12-12,80.29
2022-12-13,77.75
2022-12-14,77.32
2022-12-15,77.06
2022-12-16,78.19
2022-12-19,78.26
2022-12-20,79.56
2022-12-21,81.25
2022-12-22,80.8
2022-12-23,81.77
2022-12-27,82.22
2022-12-28,82.35
2022-12-29,82.66
2022-12-30,83.26
2023-01-03,81.94
2023-01-04,83.35
2023-01-05,83.11
2023-01-06,84.54
2023-01-09,85.43
2023-01-10,85.62
2023-01-11,83.42
2023-01-12,83.48
2023-01-13,82.98
2023-01-17,83.49
2023-01-18,81.38
2023-01-19,76.32
2023-01-20,77.03
2023-01-23,77.73
2023-01-24,79.25
2023-01-25,79.21
2023-01-26,78.05
2023-01-27,74.69
2023-01-30,75.5
2023-01-31,77.42
2023-02-01,78.25
2023-02-02,76.62
2023-02-03,79.02
2023-02-06,79.86
2023-02-07,81.19
2023-02-08,80.61
2023-02-09,79.58
2023-02-10,80.46
2023-02-13,80.42
2023-02-14,80.77
2023-02-15,80.48
2023-02-16,80.34
2023-02-17,80.32
2023-02-21,79.9
2023-02-22,80
2023-02-23,78.97
2023-02-24,80.6
2023-02-27,77.88
2023-02-28,77.92
2023-03-01,77.41
2023-03-02,76.09
2023-03-03,77.41
2023-03-06,76.6
2023-03-07,74.95
2023-03-08,76.2
2023-03-09,66.47
2023-03-10,58.7
2023-03-13,51.91
2023-03-14,56.68
2023-03-15,59.55
2023-03-16,57.88
2023-03-17,56.41
2023-03-20,56.11
2023-03-21,59.47
2023-03-22,56.26
2023-03-23,52.89
2023-03-24,53.26
2023-03-27,54.86
2023-03-28,53.85
2023-03-29,55.21
2023-03-30,52.47
2023-03-31,52.38
2023-04-03,51.57
2023-04-04,50
2023-04-05,48.87
2023-04-06,49.35
2023-04-10,51.72
2023-04-11,51.71
2023-04-12,51.92
2023-04-13,51.49
2023-04-14,50.77
2023-04-17,52.77
2023-04-18,54
2023-04-19,55.55
2023-04-20,54
2023-04-21,53.8
2023-04-24,53.12
2023-04-25,51.03
2023-04-26,50.6
2023-04-27,51.73
2023-04-28,52.24
2023-05-01,51.81
2023-05-02,50.1
2023-05-03,48.03
2023-05-04,47.37
2023-05-05,49.24
2023-05-08,47.63
2023-05-09,47.94
2023-05-10,47.55
2023-05-11,47.73
2023-05-12,48.94
2023-05-15,50.94
2023-05-16,50.09
2023-05-17,51.82
2023-05-18,51.75
2023-05-19,51.67
2023-05-22,51.97
2023-05-23,52.79
2023-05-24,52.08
2023-05-25,54.24
2023-05-26,53.67
2023-05-30,53.84
2023-05-31,52.69
2023-06-01,52.7
2023-06-02,54.37
2023-06-05,54.41
2023-06-06,54.61
2023-06-07,55.63
2023-06-08,55.03
2023-06-09,55
2023-06-12,53.97
2023-06-13,54.75
2023-06-14,54.35
2023-06-15,55.51
2023-06-16,54.4
2023-06-20,53.93
2023-06-21,53.97
2023-06-22,53.21
2023-06-23,53.17
2023-06-26,53.41
2023-06-27,55.22
2023-06-28,55.78
2023-06-29,57.14
2023-06-30,56.68
2023-07-03,57.72
2023-07-05,56.69
2023-07-06,55.96
2023-07-07,56.79
2023-07-10,57.83
2023-07-11,57.58
2023-07-12,58.41
2023-07-13,59.93
2023-07-14,58.52
2023-07-17,58.64
2023-07-18,66.01
2023-07-19,66.04
2023-07-20,67.94
2023-07-21,66.48
2023-07-24,66.56
