date,close
2023-03-24,30.75
2023-03-27,30.62
2023-03-28,30.07
2023-03-29,30.87
2023-03-30,31.19
2023-03-31,31.7
2023-04-03,31.46
2023-04-04,31.39
2023-04-05,31.12
2023-04-06,31.18
2023-04-10,31.74
2023-04-11,31.12
2023-04-12,30.59
2023-04-13,31.44
2023-04-14,31.48
2023-04-17,32.08
2023-04-18,31.73
2023-04-19,32.04
2023-04-20,31.5
2023-04-21,30.83
2023-04-24,30.68
2023-04-25,29.59
2023-04-26,29.68
2023-04-27,29.7
2023-04-28,31.05
2023-05-01,32.74
2023-05-02,36.52
2023-05-03,37.84
2023-05-04,37.49
2023-05-05,37.75
2023-05-08,38.83
2023-05-09,38.19
2023-05-10,38.79
2023-05-11,38.42
2023-05-12,38.45
2023-05-15,38.14
2023-05-16,37.44
2023-05-17,37.84
2023-05-18,39.25
2023-05-19,39.18
2023-05-22,39.17
2023-05-23,38.66
2023-05-24,37.96
2023-05-25,37.95
2023-05-26,38.45
2023-05-30,37.56
2023-05-31,37.93
2023-06-01,38.48
2023-06-02,39.73
2023-06-05,40.42
2023-06-06,40.25
2023-06-07,38.99
2023-06-08,40.26
2023-06-09,40.99
2023-06-12,41.74
2023-06-13,41.41
2023-06-14,41.27
2023-06-15,43.36
2023-06-16,43.52
2023-06-20,42.17
2023-06-21,42.66
2023-06-22,42.81
2023-06-23,43.34
2023-06-26,44.42
2023-06-27,43.83
2023-06-28,44.24
2023-06-29,42.58
2023-06-30,43.17
2023-07-03,43.09
2023-07-05,43.66
2023-07-06,42.11
2023-07-07,42.91
2023-07-10,42.78
2023-07-11,44.36
2023-07-12,44.52
2023-07-13,45.64
2023-07-14,44.75
2023-07-17,45.51
2023-07-18,47.41
2023-07-19,47.12
2023-07-20,46.57
2023-07-21,47.23
2023-07-24,47.32
2023-07-25,47.17
2023-07-26,47.31
2023-07-27,46.61
2023-07-28,48.14
2023-07-31,49.46
2023-08-01,46.65
2023-08-02,46.96
2023-08-03,45.91
2023-08-04,45.2
2023-08-07,44.95
2023-08-08,45.16
2023-08-09,44.11
2023-08-10,44.6
2023-08-11,43.71
2023-08-14,44.85
2023-08-15,44.08
2023-08-16,43.65
2023-08-17,43.97
2023-08-18,44.69
2023-08-21,44.63
2023-08-22,44.35
2023-08-23,45.14
2023-08-24,44.68
2023-08-25,43.96
2023-08-28,44.15
2023-08-29,45.35
2023-08-30,46.51
2023-08-31,47.23
2023-09-01,47.04
2023-09-05,46.55
2023-09-06,45.9
2023-09-07,46.27
2023-09-08,47.24
2023-09-11,48.94
2023-09-12,47.92
2023-09-13,48.16
2023-09-14,48.32
2023-09-15,47.52
2023-09-18,46.51
2023-09-19,47.59
