Date,Cumulative_Investment
2022-05-23,500.0
2022-05-24,500.0
2022-05-25,500.0
2022-05-26,500.0
2022-05-27,500.0
2022-05-28,500.0
2022-05-29,500.0
2022-05-30,500.0
2022-05-31,500.0
2022-06-01,500.0
2022-06-02,500.0
2022-06-03,500.0
2022-06-04,500.0
2022-06-05,500.0
2022-06-06,500.0
2022-06-07,500.0
2022-06-08,500.0
2022-06-09,500.0
2022-06-10,500.0
2022-06-11,500.0
2022-06-12,500.0
2022-06-13,500.0
2022-06-14,500.0
2022-06-15,500.0
2022-06-16,500.0
2022-06-17,500.0
2022-06-18,500.0
2022-06-19,500.0
2022-06-20,500.0
2022-06-21,500.0
2022-06-22,500.0
2022-06-23,500.0
2022-06-24,500.0
2022-06-25,500.0
2022-06-26,500.0
2022-06-27,500.0
2022-06-28,500.0
2022-06-29,500.0
2022-06-30,500.0
2022-07-01,500.0
2022-07-02,500.0
2022-07-03,500.0
2022-07-04,500.0
2022-07-05,500.0
2022-07-06,500.0
2022-07-07,600.0
2022-07-08,600.0
2022-07-09,600.0
2022-07-10,600.0
2022-07-11,600.0
2022-07-12,600.0
2022-07-13,600.0
2022-07-14,600.0
2022-07-15,600.0
2022-07-16,600.0
2022-07-17,600.0
2022-07-18,600.0
2022-07-19,600.0
2022-07-20,600.0
2022-07-21,600.0
2022-07-22,600.0
2022-07-23,600.0
2022-07-24,600.0
2022-07-25,600.0
2022-07-26,600.0
2022-07-27,600.0
2022-07-28,600.0
2022-07-29,600.0
2022-07-30,600.0
2022-07-31,600.0
2022-08-01,600.0
2022-08-02,600.0
2022-08-03,600.0
2022-08-04,600.0
2022-08-05,600.0
2022-08-06,600.0
2022-08-07,600.0
2022-08-08,600.0
2022-08-09,600.0
2022-08-10,600.0
2022-08-11,600.0
2022-08-12,600.0
2022-08-13,600.0
2022-08-14,600.0
2022-08-15,1600.0
2022-08-16,1600.0
2022-08-17,1600.0
2022-08-18,1600.0
2022-08-19,1600.0
2022-08-20,1600.0
2022-08-21,1600.0
2022-08-22,1600.0
2022-08-23,1600.0
2022-08-24,1600.0
2022-08-25,1600.0
2022-08-26,1600.0
2022-08-27,1600.0
2022-08-28,1600.0
2022-08-29,1600.0
2022-08-30,1600.0
2022-08-31,1600.0
2022-09-01,1600.0
2022-09-02,1600.0
2022-09-03,1600.0
2022-09-04,1600.0
2022-09-05,1600.0
2022-09-06,1600.0
2022-09-07,1600.0
2022-09-08,1600.0
2022-09-09,1600.0
2022-09-10,1600.0
2022-09-11,1600.0
2022-09-12,1600.0
2022-09-13,1600.0
2022-09-14,1600.0
2022-09-15,1600.0
2022-09-16,1600.0
2022-09-17,1600.0
2022-09-18,1600.0
2022-09-19,1600.0
2022-09-20,1600.0
2022-09-21,1600.0
2022-09-22,1600.0
2022-09-23,1600.0
2022-09-24,1600.0
2022-09-25,1600.0
2022-09-26,1600.0
2022-09-27,1600.0
2022-09-28,1600.0
2022-09-29,1600.0
2022-09-30,1600.0
2022-10-01,1600.0
2022-10-02,1600.0
2022-10-03,1600.0
2022-10-04,1600.0
2022-10-05,1600.0
2022-10-06,1600.0
2022-10-07,1600.0
2022-10-08,1600.0
2022-10-09,1600.0
2022-10-10,1600.0
2022-10-11,1600.0
2022-10-12,1600.0
2022-10-13,1600.0
2022-10-14,1600.0
2022-10-15,1600.0
2022-10-16,1600.0
2022-10-17,1600.0
2022-10-18,1600.0
2022-10-19,1600.0
2022-10-20,1600.0
2022-10-21,1600.0
2022-10-22,1600.0
2022-10-23,1600.0
2022-10-24,1600.0
2022-10-25,1600.0
2022-10-26,1600.0
2022-10-27,1600.0
2022-10-28,1600.0
2022-10-29,1600.0
2022-10-30,1600.0
2022-10-31,1600.0
2022-11-01,1600.0
2022-11-02,1600.0
2022-11-03,1600.0
2022-11-04,1600.0
2022-11-05,1600.0
2022-11-06,1600.0
2022-11-07,1600.0
2022-11-08,1600.0
2022-11-09,1600.0
2022-11-10,1600.0
2022-11-11,1600.0
2022-11-12,1600.0
2022-11-13,1600.0
2022-11-14,1600.0
2022-11-15,1600.0
2022-11-16,1600.0
2022-11-17,1600.0
2022-11-18,1600.0
2022-11-19,1600.0
2022-11-20,1600.0
2022-11-21,1600.0
2022-11-22,1600.0
2022-11-23,1600.0
2022-11-24,1600.0
2022-11-25,1600.0
2022-11-26,1600.0
2022-11-27,1600.0
2022-11-28,1600.0
2022-11-29,1600.0
2022-11-30,1600.0
2022-12-01,1600.0
2022-12-02,1600.0
2022-12-03,1600.0
2022-12-04,1600.0
2022-12-05,1600.0
2022-12-06,1600.0
2022-12-07,1600.0
2022-12-08,1600.0
2022-12-09,1600.0
2022-12-10,1600.0
2022-12-11,1600.0
2022-12-12,1600.0
2022-12-13,1600.0
2022-12-14,1600.0
2022-12-15,1600.0
2022-12-16,1600.0
2022-12-17,1600.0
2022-12-18,1600.0
2022-12-19,1600.0
2022-12-20,1600.0
2022-12-21,1600.0
2022-12-22,1600.0
2022-12-23,1600.0
2022-12-24,1600.0
2022-12-25,1600.0
2022-12-26,1600.0
2022-12-27,1600.0
2022-12-28,1600.0
2022-12-29,1600.0
2022-12-30,1600.0
2022-12-31,1600.0
2023-01-01,1600.0
2023-01-02,1600.0
2023-01-03,1600.0
2023-01-04,1600.0
2023-01-05,1600.0
2023-01-06,1600.0
2023-01-07,1600.0
2023-01-08,1600.0
2023-01-09,1600.0
2023-01-10,1600.0
2023-01-11,1600.0
2023-01-12,1600.0
2023-01-13,1600.0
2023-01-14,1600.0
2023-01-15,1600.0
2023-01-16,1600.0
2023-01-17,1600.0
2023-01-18,1600.0
2023-01-19,1600.0
2023-01-20,1600.0
2023-01-21,1600.0
2023-01-22,1600.0
2023-01-23,1600.0
2023-01-24,1600.0
2023-01-25,1600.0
2023-01-26,1600.0
2023-01-27,1600.0
2023-01-28,1600.0
2023-01-29,1600.0
2023-01-30,1600.0
2023-01-31,1600.0
2023-02-01,1600.0
2023-02-02,1600.0
2023-02-03,1600.0
2023-02-04,1600.0
2023-02-05,1600.0
2023-02-06,1600.0
2023-02-07,1600.0
2023-02-08,1600.0
2023-02-09,1600.0
2023-02-10,1600.0
2023-02-11,1600.0
2023-02-12,1600.0
2023-02-13,1600.0
2023-02-14,1600.0
2023-02-15,1600.0
2023-02-16,1600.0
2023-02-17,1600.0
2023-02-18,1600.0
2023-02-19,1600.0
2023-02-20,1600.0
2023-02-21,1600.0
2023-02-22,1600.0
2023-02-23,1600.0
2023-02-24,1600.0
2023-02-25,1600.0
2023-02-26,1600.0
2023-02-27,1600.0
2023-02-28,1600.0
2023-03-01,1600.0
2023-03-02,1600.0
2023-03-03,1600.0
2023-03-04,1600.0
2023-03-05,1600.0
2023-03-06,1600.0
2023-03-07,1600.0
2023-03-08,1600.0
2023-03-09,1600.0
2023-03-10,1600.0
2023-03-11,1600.0
2023-03-12,1600.0
2023-03-13,1600.0
2023-03-14,1600.0
2023-03-15,1600.0
2023-03-16,1600.0
2023-03-17,1600.0
2023-03-18,1600.0
2023-03-19,1600.0
2023-03-20,1600.0
2023-03-21,1600.0
2023-03-22,1600.0
2023-03-23,1600.0
2023-03-24,1600.0
2023-03-25,1600.0
2023-03-26,1600.0
2023-03-27,1600.0
2023-03-28,1600.0
2023-03-29,1600.0
2023-03-30,2300.0
2023-03-31,2300.0
2023-04-01,2300.0
2023-04-02,2300.0
2023-04-03,2300.0
2023-04-04,2300.0
2023-04-05,2300.0
2023-04-06,2300.0
2023-04-07,2300.0
2023-04-08,2300.0
2023-04-09,2300.0
2023-04-10,2300.0
2023-04-11,2300.0
2023-04-12,2300.0
2023-04-13,2300.0
2023-04-14,2300.0
2023-04-15,2300.0
2023-04-16,2300.0
2023-04-17,2300.0
2023-04-18,2300.0
2023-04-19,2300.0
2023-04-20,2300.0
2023-04-21,2300.0
2023-04-22,2300.0
2023-04-23,2300.0
2023-04-24,2300.0
2023-04-25,2300.0
2023-04-26,2300.0
2023-04-27,2300.0
2023-04-28,2300.0
2023-04-29,2300.0
2023-04-30,2300.0
2023-05-01,2300.0
2023-05-02,2300.0
2023-05-03,2300.0
2023-05-04,2300.0
2023-05-05,2300.0
2023-05-06,2300.0
2023-05-07,2300.0
2023-05-08,2300.0
2023-05-09,2300.0
2023-05-10,2300.0
2023-05-11,2300.0
2023-05-12,2300.0
2023-05-13,2300.0
2023-05-14,2300.0
2023-05-15,2300.0
2023-05-16,2300.0
2023-05-17,2300.0
2023-05-18,2300.0
2023-05-19,2629.0
2023-05-20,2629.0
2023-05-21,2629.0
2023-05-22,2629.0
2023-05-23,2629.0
2023-05-24,2629.0
2023-05-25,2629.0
2023-05-26,2629.0
2023-05-27,2629.0
2023-05-28,2629.0
2023-05-29,2629.0
2023-05-30,2629.0
2023-05-31,2629.0
2023-06-01,2629.0
2023-06-02,2929.0
2023-06-03,2929.0
2023-06-04,2929.0
2023-06-05,3133.0
2023-06-05,3313.0
2023-06-06,3313.0
2023-06-07,3313.0
2023-06-08,3313.0
2023-06-09,3313.0
2023-06-10,3313.0
2023-06-11,3313.0
2023-06-12,3313.0
2023-06-13,3313.0
2023-06-14,3313.0
2023-06-15,3313.0
2023-06-16,3313.0
2023-06-17,3313.0
2023-06-18,3313.0
2023-06-19,3313.0
2023-06-20,4113.0
2023-06-21,4113.0
2023-06-22,4113.0
2023-06-23,4113.0
