Date,Close
2022-09-01,425.5
2022-09-02,420.06
2022-09-03,420.06
2022-09-04,420.06
2022-09-05,420.06
2022-09-06,418.76
2022-09-07,435.29
2022-09-08,439.04
2022-09-09,450.03
2022-09-10,450.03
2022-09-11,450.03
2022-09-12,455.37
2022-09-13,429.31
2022-09-14,436.84
2022-09-15,422.12
2022-09-16,423.0
2022-09-17,423.0
2022-09-18,423.0
2022-09-19,423.69
2022-09-20,417.82
2022-09-21,408.68
2022-09-22,396.71
2022-09-23,393.97
2022-09-24,393.97
2022-09-25,393.97
2022-09-26,395.8
2022-09-27,400.77
2022-09-28,409.29
2022-09-29,396.81
2022-09-30,387.32
2022-10-01,387.32
2022-10-02,387.32
2022-10-03,396.8
2022-10-04,412.01
2022-10-05,413.58
2022-10-06,411.32
2022-10-07,392.96
2022-10-08,392.96
2022-10-09,392.96
2022-10-10,387.64
2022-10-11,383.48
2022-10-12,388.06
2022-10-13,395.78
2022-10-14,380.11
2022-10-15,380.11
2022-10-16,380.11
2022-10-17,403.74
2022-10-18,408.65
2022-10-19,402.07
2022-10-20,401.15
2022-10-21,417.18
2022-10-22,417.18
2022-10-23,417.18
2022-10-24,417.76
2022-10-25,432.08
2022-10-26,424.39
2022-10-27,422.0
2022-10-28,431.79
2022-10-29,431.79
2022-10-30,431.79
2022-10-31,427.5
2022-11-01,394.77
2022-11-02,385.03
2022-11-03,364.99
2022-11-04,361.19
2022-11-05,361.19
2022-11-06,361.19
2022-11-07,370.11
2022-11-08,382.57
2022-11-09,368.55
2022-11-10,403.24
2022-11-11,408.04
2022-11-12,408.04
2022-11-13,408.04
2022-11-14,397.66
2022-11-15,407.02
2022-11-16,393.66
2022-11-17,381.88
2022-11-18,380.07
2022-11-19,380.07
2022-11-20,380.07
2022-11-21,375.0
2022-11-22,392.23
2022-11-23,395.85
2022-11-24,395.85
2022-11-25,392.47
2022-11-26,392.47
2022-11-27,392.47
2022-11-28,385.64
2022-11-29,379.71
2022-11-30,407.59
2022-12-01,416.07
2022-12-02,407.92
2022-12-03,407.92
2022-12-04,407.92
2022-12-05,395.14
2022-12-06,389.78
2022-12-07,388.65
2022-12-08,405.36
2022-12-09,399.83
2022-12-10,399.83
2022-12-11,399.83
2022-12-12,410.78
2022-12-13,428.39
2022-12-14,418.92
2022-12-15,396.53
2022-12-16,384.98
2022-12-17,384.98
2022-12-18,384.98
2022-12-19,383.52
2022-12-20,387.08
2022-12-21,393.33
2022-12-22,383.95
2022-12-23,384.49
2022-12-24,384.49
2022-12-25,384.49
2022-12-26,384.49
2022-12-27,383.11
2022-12-28,376.5
2022-12-29,390.87
2022-12-30,389.22
2022-12-31,389.22
2023-01-01,389.22
2023-01-02,389.22
2023-01-03,391.18
2023-01-04,391.57
2023-01-05,375.62
2023-01-06,386.52
2023-01-07,386.52
2023-01-08,386.52
2023-01-09,395.34
2023-01-10,388.68
2023-01-11,395.31
2023-01-12,396.7
2023-01-13,393.21
2023-01-14,393.21
2023-01-15,393.21
2023-01-16,393.21
2023-01-17,390.2
2023-01-18,386.07
2023-01-19,378.6
2023-01-20,398.07
2023-01-21,398.07
2023-01-22,398.07
2023-01-23,410.0
2023-01-24,401.55
2023-01-25,401.9
2023-01-26,412.55
2023-01-27,422.62
2023-01-28,422.62
2023-01-29,422.62
2023-01-30,416.45
2023-01-31,422.67
2023-02-01,435.55
2023-02-02,452.16
2023-02-03,423.76
2023-02-04,423.76
2023-02-05,423.76
2023-02-06,414.99
2023-02-07,427.67
2023-02-08,421.74
2023-02-09,419.74
2023-02-10,413.52
2023-02-11,413.52
2023-02-12,413.52
2023-02-13,418.09
2023-02-14,421.97
2023-02-15,421.24
2023-02-16,408.36
2023-02-17,404.38
2023-02-18,404.38
2023-02-19,404.38
2023-02-20,404.38
2023-02-21,396.26
2023-02-22,406.38
2023-02-23,411.88
2023-02-24,419.81
2023-02-25,419.81
2023-02-26,419.81
2023-02-27,412.62
2023-02-28,407.18
